"id","volgorde","fk_rubriek_parent","fk_archief","toelichting","publiceren","naam","app_state","datum_gewijzigd","gewijzigd_door"
"219",NULL,"203","1",,"1","Makrotest NV","1","2004-10-05","Karin"
"220",NULL,"203","1",,"1","Lecturis NV","1","2004-10-05","Karin"
"221",NULL,NULL,"1",,"1","6. Autonoom werk","1","2005-10-18","Karin"
"222",NULL,"482","1","<p></p><p>De Iris Pers werd opgericht om 'visuele boeken' en fotoboeken afzetmogelijkheden te geven. Directeuren waren Meijer en Jurriaan Schrofer. De Iris Pers is nooit echt tot volle ontwikkeling gekomen.<br /></p><p></p>","1","Iris Pers NV","1","2008-09-14","Britt Grootes"
"223",NULL,"208","1",,"1","De Bezige Bij","1","2004-10-07","Karin"
"224",NULL,"208","1",,"1","Het Wereldvenster","1","2004-10-07","Karin"
"225",NULL,"208","1",,"1","Graphische Exportzentrum","1","2004-10-07","Karin"
"226",NULL,"208","1",,"1","G.J. Thieme NV","1","2004-10-07","Karin"
"227",NULL,"208","1",,"1","Ten Have NV, Uitgeverij","1","2004-10-07","Karin"
"228",NULL,"208","1",,"1","Harmonia-boek","1","2008-12-18","Britt Grootes"
"229",NULL,"208","1",,"1","Veen uitgevers","1","2004-10-07","Karin"
"230",NULL,"208","1",,"1","Bonaventura","1","2004-10-07","Karin"
"231",NULL,"208","1",,"1","Feministische uitgeverij Sara","1","2004-10-07","Karin"
"232",NULL,"149","1",,"1","CPNB","1","2004-10-07","Karin"
"233",NULL,"208","1",,"1","Contact","1","2004-10-07","Karin"
"235",NULL,NULL,"10",,"1","Overige activiteiten","1","2005-02-15","Karin"
"237",NULL,"235","10",,"1","Publicaties en tentoonstellingen over Brattinga","1","2005-01-17","Trudi"
"238",NULL,"120","10","<p></p><p>Inrichting door Pieter Brattinga</p><p></p>","1","Tentoonstelling M.C. Escher","1","2004-10-11","Charlotte"
"239",NULL,"106","10","<p></p><p>Pieter Brattinga werkt vanaf 1959 als grafisch ontwerper voor Rijksmuseum Kröller Müller. </p><p></p>","1","Huisstijl","1","2005-01-17","Trudi"
"240",NULL,"418","10","<p></p><p>Tentoonstelling De Stijl 1917-1931 van 8 augustus - 4 oktober 1982. De tentoonstelling was op twee locaties: de periode 1917 - 1923 in het Stedelijk Museum Amsterdam en de periode 1923 - 1931 in het Rijksmuseum Kröller-Müller. <br />Pieter Brattinga heeft voor het Rijksmuseum Kröller-Müller zowel de inrichting van de tentoonstelling als het affiche ontworpen.</p><p></p>","1","Tentoonstelling De Stijl 1917-1931","1","2004-10-26","Charlotte"
"242",NULL,"418","10","<p>Tentoonstelling over de affiches die Pieter Brattinga maakte voor het Rijksmuseum Kröller Müller in de periode 1959 - 1979.</p>","1","Tentoonstelling Pieter Brattinga","1","2004-10-11","Diderik"
"243",NULL,"104","10",,"1","Philips","1","2005-01-11","Trudi"
"244",NULL,"104","10","<p>Kommissie voor Speciale Aktiviteiten (KSA) </p>","1","Technische Hogeschool Eindhoven","1","2004-10-11","Diderik"
"245",NULL,"235","10",,"1","Correspondentie","1","2004-10-11","Charlotte"
"246",NULL,"104","10",,"1","Staatsbedrijf der PTT","1","2004-10-11","Diderik"
"247",NULL,"616","10",,"1","Correspondentie","1","2004-12-06","Charlotte"
"248",NULL,"125","10",,"1","Publicaties","1","2004-10-19","Trudi"
"249",NULL,"125","10",,"1","Lezingen, toespraken en symposia","1","2005-02-01","Suzanne"
"252",NULL,"235","10",,"1","Art Directors Club Nederland (ADCN)","1","2005-01-12","Trudi"
"254",NULL,"221","1",,"1","Ruimtelijke (typografische) ontwerpen","1","2004-10-13","Karin"
"255",NULL,"216","1",,"1","Cloeck en Moedigh","1","2004-10-13","Karin"
"256",NULL,"661","1",,"1","Psychological studies (serie)","1","2004-10-13","Karin"
"257",NULL,"661","1",,"1","Social science","1","2005-05-04","Karin"
"258",NULL,"661","1",,"1","La recherche urbaine, serie","1","2004-10-13","Karin"
"260",NULL,"661","1",,"1","Le savoir historique, serie","1","2004-10-13","Karin"
"261",NULL,"661","1",,"1","Contributions of the sociology of language","1","2005-02-15","Karin"
"262",NULL,"661","1",,"1","Change and continuity in Africa","1","2004-10-13","Karin"
"263",NULL,"661","1",,"1","New Babylon, studies in the behavioral sciences","1","2005-02-15","Karin"
"264",NULL,"661","1",,"1","Travaux et recherches de l’institut de litterature et de techniques artistiques de masse","1","2004-10-13","Karin"
"265",NULL,"661","1",,"1","Les textes sociologiques","1","2004-10-13","Karin"
"266",NULL,"257","1",,"1","Tendances principales de la recherche dans les sciences sociales et humaines","1","2004-10-13","Karin"
"267",NULL,"661","1",,"1","Connaissance et langage","1","2004-10-13","Karin"
"268",NULL,"661","1",,"1","Archontes","1","2004-10-13","Karin"
"269",NULL,"661","1",,"1","Semiotica","1","2004-10-13","Karin"
"270",NULL,"661","1",,"1","L’oeuvre sociologique","1","2004-10-13","Karin"
"272",NULL,"242","10",,"1","Publiciteit","1","2004-10-18","Diderik"
"273",NULL,"237","10",,"1","Toespraken en lezingen","1","2004-10-18","Charlotte"
"274",NULL,"235","10",,"1","Steendrukkerij De Jong &amp; Co.","1","2006-02-10","Trudi"
"275",NULL,"125","10",,"1","Notities","1","2004-10-20","Charlotte"
"277",NULL,"342","10",,"1","Publiciteit kantine/galerie","1","2004-10-21","Charlotte"
"279",NULL,"125","10",,"1","Colleges","1","2004-10-20","Charlotte"
"285",NULL,"104","10",,"1","VARA","1","2004-10-18","Charlotte"
"286",NULL,"302","1",,"1","Akademie voor Beeldende Kunsten Arnhem","1","2004-10-18","Karin"
"287",NULL,NULL,"10",,"1","Persoonlijk","1","2004-10-25","Charlotte"
"290",NULL,"246","10","<p></p><p>De uitgave van Europapostzegels is georganiseerd door de Conférence Européenne des Administrations des Postes et des Télécommunications(CEPT)<br /></p><p></p>","1","Europazegels","1","2004-10-19","Diderik"
"292",NULL,"287","10",,"1","Persoonlijk 1931-1958","1","2004-10-19","Charlotte"
"293",NULL,"303","1",,"1","Federatie van Kunstenaarsverenigingen","1","2004-10-19","Karin"
"296",NULL,"104","10",,"1","Arnhems Museum","1","2004-10-19","Diderik"
"297",NULL,"112","10",,"1","Verzameld  materiaal 2001","1","2004-10-20","Trudi"
"298",NULL,"112","10",,"1","Verzameld materiaal 2002","1","2004-10-20","Trudi"
"299",NULL,"344","10",,"1","Wenskaarten","1","2004-10-20","Charlotte"
"300",NULL,"235","10",,"1","Alliance Graphique International (AGI)","1","2004-11-29","Diderik"
"301",NULL,NULL,"1",,"1","8. Correspondentie","1","2005-10-18","Karin"
"302",NULL,"97","1",,"1","Onderwijs","1","2004-10-20","Karin"
"303",NULL,"97","1",,"1","Bestuurs- en jurylidmaatschappen en adviseurschappen","1","2004-10-20","Karin"
"305",NULL,"303","1",,"1","Amsterdams Fonds voor de Kunsten","1","2004-10-20","Karin"
"306",NULL,"274","10",,"1","5 Correspondentie","1","2004-10-25","Charlotte"
"307",NULL,"97","1",,"1","Toespraken, lezingen en publicaties divers","1","2004-10-20","Karin"
"308",NULL,"97","1",,"1","Alliance Graphique International (AGI)","1","2004-10-20","Karin"
"309",NULL,"274","10",,"1","6 Verzamelde documentatie","1","2004-10-25","Charlotte"
"310",NULL,"112","10",,"1","Verzameld materiaal overig","1","2004-10-20","Charlotte"
"312",NULL,"484","1",,"1","Correspondentie en documentatie Total Design","1","2005-02-08","Karin"
"313",NULL,"287","10",,"1","Persoonlijk 1981-2004","1","2004-10-20","Trudi"
"314",NULL,"313","10",,"1","Correspondentie","1","2004-10-20","Trudi"
"315",NULL,"303","1",,"1","Gebonden Kunsten federatie (GKf) en vereniging Grafische Vormgevers Nederland (GVN)","1","2004-10-20","Karin"
"316",NULL,"235","10","<p></p><p>Tentoonstelling drukwerk Cowell Ltd.</p><p></p>","1","IPEX","1","2004-10-20","Charlotte"
"317",NULL,"97","1",,"1","Aantekeningen, notities en kopieën","1","2005-02-15","Karin"
"318",NULL,"274","10","<p>Serie experimenten in druk op het gebied van de grafische vormgeving, beeldende kunst, literatuur, architectuur en muziek. Uitgegeven en gedrukt door Steendrukkerij de Jong tussen 1953 en 1974. Redactie Pieter Brattinga.</p>","1","1 Kwadraatbladen","1","2005-04-20","Trudi"
"319",NULL,"302","1",,"1","Grafische School Amsterdam","1","2004-10-20","Karin"
"323",NULL,"149","1",,"1","Planeta, Een liefdsegeschiedenis in Saint Germain du Pres","1","2005-02-12","Karin"
"324",NULL,"149","1",,"1","De Beyerd","1","2004-10-20","Karin"
"325",NULL,"274","10","<p></p><p>Publiciteit over Steendrukkerij de Jong of over de expositieruimte (kantine, galerie) van Steendrukkerij de Jong</p><p></p>","1","4 Publiciteit","1","2005-02-22","Trudi"
"327",NULL,"112","10",,"1","Verzameld materiaal 2000","1","2004-10-20","Trudi"
"333",NULL,"362","1",,"1","Kampert en Helm Rotaform huisstijl","1","2005-09-21","Karin"
"334",NULL,"298","10",,"1","Divers","1","2004-10-20","Trudi"
"335",NULL,"246","10","<p>Jaarlijkse postzegelbeurs</p>","1","Amphilex","1","2004-10-20","Trudi"
"336",NULL,"161","1",,"1","Correspondentie en documentatie Mouton &amp; Co.","1","2005-09-21","Karin"
"339",NULL,"313","10",,"1","Documentatie","1","2004-10-21","Trudi"
