"rol","fk_persoon_instelling","fk_object"
"0","8","26891"
"0","8","26905"
"0","8","26906"
"0","8","26909"
"0","8","26910"
"0","8","26911"
"0","8","26912"
"0","8","26913"
"0","8","26915"
"0","8","26916"
"0","8","26917"
"0","8","26918"
"0","8","26919"
"0","8","26920"
"0","8","26921"
"0","8","26927"
"0","8","26928"
"0","8","26929"
"0","8","26930"
"0","8","26931"
"0","8","26933"
"0","8","26936"
"0","8","26937"
"0","8","26938"
"0","8","26940"
"0","8","26943"
"0","8","26944"
"0","8","26946"
"0","8","26948"
"0","8","26949"
"0","8","26950"
"0","8","26952"
"0","8","26954"
"0","8","26959"
"0","8","26970"
"0","8","26971"
"0","8","26972"
"0","8","26973"
"0","8","26974"
"0","8","27009"
"0","8","27010"
"0","8","27012"
"0","8","27013"
"0","8","27014"
"0","8","27015"
"0","8","27019"
"0","8","27020"
"0","8","27271"
"0","8","27277"
"0","8","27278"
"0","8","27280"
"0","8","27281"
"0","8","27282"
"0","8","27285"
"0","8","27286"
"0","8","27287"
"0","8","27288"
"0","8","27289"
"0","8","27290"
"0","8","27291"
"0","8","27292"
"0","8","27293"
"0","8","27294"
"0","8","27295"
"0","8","27296"
"0","8","27297"
"0","8","27298"
"0","8","27299"
"0","8","27300"
"0","8","27301"
"0","8","27302"
"0","8","27303"
"0","8","27304"
"0","8","27305"
"0","8","27306"
"0","8","27307"
"0","8","27309"
"0","8","27310"
"0","8","27311"
"0","8","27312"
"0","8","27314"
"0","8","27315"
"0","8","27316"
"0","8","27317"
"0","8","27318"
"0","8","27319"
"0","8","27323"
"0","8","27324"
"0","8","27325"
"0","8","27857"
"0","8","27859"
"0","8","28204"
"0","8","28205"
"0","8","28206"
"0","8","28207"
"0","8","28208"
"0","8","28209"
"0","8","28210"
"0","8","28211"
"0","8","28215"
"0","8","28217"
"0","8","28222"
"0","8","28223"
"0","8","28224"
"0","8","28225"
"0","8","28226"
"0","8","28228"
"0","8","28231"
"0","8","28233"
"0","8","28234"
"0","8","28235"
"0","8","28236"
"0","8","28237"
"0","8","28238"
"0","8","28239"
"0","8","28240"
"0","8","28241"
"0","8","28242"
"0","8","28244"
"0","8","28245"
"0","8","28248"
"0","8","28249"
"0","8","28251"
"0","8","28252"
"0","8","28254"
"0","8","28255"
"0","8","28258"
"0","8","28259"
