"id","fk_lijsten","fk_object","fk_persoon_instelling","ranking","is_ontwerp"
"6408","85","3840","1021",NULL,NULL
"6409","27","3841","1292",NULL,"1"
"6410","85","3841","1021",NULL,NULL
"6411","27","3842","1292",NULL,"1"
"6412","85","3842","1021",NULL,NULL
"6413","27","3843","1292",NULL,"1"
"6414","85","3843","1021",NULL,NULL
"6415","27","3844","1292",NULL,"1"
"6416","85","3844","1021",NULL,NULL
"6417","27","3845","1292",NULL,"1"
"6418","85","3845","1021",NULL,NULL
"6419","27","3846","1292",NULL,"1"
"6420","85","3846","1021",NULL,NULL
"6421","27","3847","1292",NULL,"1"
"6422","85","3847","1021",NULL,NULL
"6423","27","3848","1292",NULL,"1"
"6424","85","3848","1021",NULL,NULL
"6425","27","3849","1292",NULL,"1"
"6426","85","3849","1021",NULL,NULL
"6427","27","3850","1292",NULL,"1"
"6428","85","3850","1021",NULL,NULL
"6429","27","3851","1292",NULL,"1"
"6430","85","3851","1021",NULL,NULL
"6431","27","3852","1292",NULL,"1"
"6432","85","3852","1021",NULL,NULL
"6433","27","3853","1292",NULL,"1"
"6434","85","3853","1021",NULL,NULL
"6435","27","3854","1292",NULL,"1"
"6436","27","3855","1292",NULL,"1"
"6437","85","3855","1021",NULL,NULL
"6438","27","3856","1292",NULL,"1"
"6439","85","3856","1021",NULL,NULL
"6440","27","3857","1292",NULL,"1"
"6441","85","3857","1021",NULL,NULL
"6442","27","3858","1292",NULL,"1"
"6443","85","3858","1021",NULL,NULL
"6444","27","3859","1292",NULL,"1"
"6445","85","3859","1021",NULL,NULL
"6446","27","3860","1292",NULL,"1"
"6447","25","3860","1022",NULL,NULL
"6448","85","3860","1021",NULL,NULL
"6449","27","3861","1292",NULL,"1"
"6450","85","3861","1021",NULL,NULL
"6451","27","3862","1292",NULL,"1"
"6452","85","3862","1021",NULL,NULL
"6453","27","3863","1292",NULL,"1"
"6454","85","3863","1021",NULL,NULL
"6455","27","3864","1292",NULL,"1"
"6456","85","3864","1021",NULL,NULL
"6457","27","3865","1292",NULL,"1"
"6458","85","3865","1021",NULL,NULL
"6459","27","3866","1292",NULL,"1"
"6460","85","3866","1021",NULL,NULL
"6461","27","3867","940",NULL,"1"
"6462","27","3867","942",NULL,"1"
"6463","85","3867","1021",NULL,NULL
"6464","27","3868","1292",NULL,"1"
"6465","27","3869","1292",NULL,"1"
"6466","27","3870","1292",NULL,"1"
"6467","27","3871","1292",NULL,"1"
"6468","27","3872","1292",NULL,"1"
"6469","27","3873","1292",NULL,"1"
"6470","27","3874","1292",NULL,"1"
"6471","27","3875","1292",NULL,"1"
"6472","27","3876","1292",NULL,"1"
"6473","27","3877","1292",NULL,"1"
"6474","27","3878","1292",NULL,"1"
"6475","27","3879","1292",NULL,"1"
"6476","27","3880","1292",NULL,"1"
"6477","27","3881","1292",NULL,"1"
"6478","27","3882","1292",NULL,"1"
"6479","27","3883","1292",NULL,"1"
"6480","27","3884","1292",NULL,"1"
"6484","27","3887","1292",NULL,"1"
"6487","27","3889","942",NULL,"1"
"6488","25","3889","1023",NULL,NULL
"6489","27","3890","942",NULL,"1"
"6490","25","3890","1023",NULL,NULL
"6493","27","3892","940",NULL,"1"
"6494","27","3893","1292",NULL,"1"
"6495","27","3894","1292",NULL,"1"
"6496","27","3895","940",NULL,"1"
"6497","27","3896","1292",NULL,"1"
"6499","27","3898","1292",NULL,"1"
"6500","27","3899","1292",NULL,"1"
"6501","27","3900","1292",NULL,"1"
"6502","27","3901","1292",NULL,"1"
"6503","27","3902","1292",NULL,"1"
"6504","27","3903","1292",NULL,"1"
"6505","27","3904","1292",NULL,"1"
"6506","27","3905","1292",NULL,"1"
"6507","27","3906","1292",NULL,"1"
"6509","27","3908","1292",NULL,"1"
"6514","27","3911","951",NULL,"1"
"6515","27","3911","940",NULL,"1"
"6522","27","3915","1292",NULL,"1"
"6523","85","3915","1030",NULL,NULL
"6527","27","3917","954",NULL,"1"
"6528","27","3918","954",NULL,"1"
"6529","27","3919","1292",NULL,"1"
"6530","27","3920","1292",NULL,"1"
"6531","27","3921","1292",NULL,"1"
"6532","27","3922","1292",NULL,"1"
"6533","27","3923","1292",NULL,"1"
"6534","27","3924","1292",NULL,"1"
"6535","27","3925","1292",NULL,"1"
"6536","27","3926","1292",NULL,"1"
"6537","27","3927","1292",NULL,"1"
"6540","27","3930","1292",NULL,"1"
"6541","27","3931","1292",NULL,"1"
"6542","27","3932","1292",NULL,"1"
